œ– √(2), ÏŒÏ	¡œ– √(2), ŒÏ	œ– √(4), ÏŒÏ	¡œ– √(4), ŒÏ	œ– √(5), ÏŒÏ	¡œ– √(5), ŒÏ	œ– √(7), ÏŒÏ	¡œ– √(7), ŒÏ	œ– √(8), ÏŒÏ	¡œ– √(8), ŒÏ	œ– √(10), ÏŒÏ	¡œ– √(10), ŒÏ	œ– √(13), ÏŒÏ	¡œ– √(13), ŒÏ	œ– √(14), ÏŒÏ	¡œ– √(14), ŒÏ	› √(16), ÏÍ¬	“– √(32), ÏŒÏ	
65.200	63.918	-2.800	8.745	-0.800	12.667	-62.800	94.658	-32.800	83.316	-4.000	72.981	-39.600	25.440	-28.400	108.650	-46.378	-6.400	
64.800	63.918	-2.800	8.745	0.000	12.614	-63.200	94.658	-33.200	83.263	-4.400	72.981	-39.200	25.440	-29.200	108.650	-38.957	-6.400	
64.400	63.918	-2.800	8.745	0.800	12.561	-63.200	94.658	-32.800	83.263	-5.200	72.981	-38.800	25.440	-29.600	108.650	-31.537	-6.000	
64.400	63.918	-2.800	8.692	0.800	12.508	-63.600	94.658	-32.800	83.263	-5.600	72.981	-38.400	25.440	-30.400	108.650	-37.102	-5.600	
64.400	63.918	-3.200	8.692	0.000	12.508	-63.600	94.658	-32.800	83.263	-6.400	72.981	-38.400	25.440	-30.800	108.650	-42.667	-5.600	
64.400	63.918	-2.800	8.692	-0.800	12.508	-64.000	94.658	-32.800	83.263	-7.200	72.981	-38.400	25.440	-31.600	108.650	-33.392	-5.200	
64.400	63.918	-2.400	8.692	-0.800	12.508	-64.000	94.658	-32.400	83.263	-8.000	72.981	-38.000	25.440	-32.400	108.650	-27.827	-4.800	
64.400	63.918	-2.000	8.745	-0.400	12.561	-64.000	94.658	-32.400	83.263	-8.800	72.981	-37.600	25.440	-33.200	108.650	-25.971	-4.400	
64.800	63.918	-2.000	8.745	-0.800	12.667	-64.000	94.658	-32.000	83.316	-9.200	72.981	-37.200	25.440	-33.600	108.650	-29.682	-4.400	
65.200	63.918	-2.000	8.745	-2.000	12.667	-63.600	94.658	-32.400	83.316	-10.000	72.981	-37.200	25.440	-34.000	108.650	-38.957	-4.000	
65.600	63.918	-1.600	8.745	-2.800	12.667	-63.600	94.658	-32.400	83.263	-10.800	72.981	-36.800	25.440	-34.400	108.650	-50.088	-3.600	
66.000	63.918	-1.200	8.745	-2.400	12.614	-63.200	94.658	-32.000	83.263	-11.600	72.981	-37.200	25.440	-34.800	108.650	-44.522	-3.200	
66.800	63.918	-0.800	8.745	-2.000	12.561	-62.800	94.658	-31.600	83.263	-12.400	72.981	-38.000	25.440	-34.800	108.650	-33.392	-2.800	
67.200	63.918	-0.800	8.692	-2.800	12.561	-62.400	94.658	-31.200	83.263	-13.600	72.981	-38.000	25.440	-34.400	108.650	-42.667	-2.400	
68.000	63.918	-0.800	8.692	-4.000	12.508	-62.000	94.658	-32.000	83.316	-14.400	72.981	-38.000	25.440	-34.400	108.650	-59.363	-2.000	
68.400	63.918	-0.800	8.692	-4.800	12.508	-61.600	94.658	-32.800	83.316	-15.200	72.981	-38.400	25.440	-34.400	108.650	-64.929	-1.600	
69.200	63.918	-0.400	8.692	-4.400	12.508	-61.200	94.658	-33.200	83.263	-16.000	72.981	-39.200	25.440	-34.000	108.650	-59.363	-1.200	
69.600	63.918	0.000	8.745	-4.000	12.614	-60.800	94.658	-33.200	83.316	-16.800	72.981	-40.000	25.440	-33.600	108.650	-57.508	-1.200	
70.000	63.918	0.000	8.745	-4.000	12.667	-60.400	94.658	-33.600	83.316	-17.600	72.981	-40.000	25.440	-33.200	108.650	-70.494	-0.800	
70.400	63.918	0.000	8.745	-5.600	12.667	-60.000	94.658	-34.000	83.263	-18.400	72.981	-39.600	25.440	-32.800	108.650	-89.045	-0.800	
70.800	63.918	0.000	8.745	-6.400	12.667	-59.600	94.658	-34.000	83.316	-18.800	72.981	-39.600	25.440	-33.200	108.650	-103.886	-0.800	
70.800	63.918	0.000	8.745	-5.600	12.614	-59.600	94.658	-33.600	83.263	-19.600	72.981	-39.600	25.440	-33.200	108.650	-111.306	-0.400	
70.800	63.918	0.000	8.692	-4.400	12.561	-59.200	94.658	-33.200	83.263	-20.000	72.981	-40.000	25.493	-32.800	108.650	-107.596	-0.400	
70.800	63.918	-0.400	8.745	-3.600	12.508	-59.200	94.658	-32.800	83.263	-20.800	72.981	-40.800	25.493	-32.400	108.650	-98.320	-0.400	
70.400	63.918	-1.200	8.692	-3.200	12.508	-59.200	94.658	-32.800	83.316	-21.200	72.981	-42.000	25.440	-32.400	108.650	-81.624	-0.400	
70.400	63.918	-1.600	8.692	-2.400	12.508	-59.200	94.658	-32.400	83.263	-21.600	72.981	-42.800	25.440	-32.000	108.650	-70.494	-0.400	
70.000	63.918	-2.400	8.745	-1.200	12.508	-59.200	94.658	-31.600	83.263	-21.600	72.981	-44.000	25.440	-31.600	108.650	-68.639	-0.400	
69.200	63.918	-2.400	8.745	0.400	12.614	-59.200	94.711	-30.800	83.316	-22.000	72.981	-45.200	25.440	-31.200	108.650	-70.494	-0.400	
68.800	63.918	-2.800	8.745	0.800	12.667	-59.200	94.658	-30.000	83.316	-22.400	72.981	-46.400	25.440	-31.200	108.650	-61.218	-0.400	
68.400	63.918	-3.200	8.745	0.400	12.667	-59.200	94.658	-30.000	83.316	-22.400	72.981	-47.200	25.440	-31.200	108.650	-48.233	-0.800	
67.600	63.918	-3.600	8.745	0.000	12.667	-58.800	94.658	-30.000	83.263	-22.000	72.981	-47.600	25.440	-31.600	108.650	-51.943	-1.200	
66.800	63.918	-3.200	8.745	1.200	12.614	-58.800	94.658	-29.200	83.263	-22.000	72.981	-47.600	25.440	-32.000	108.650	-70.494	-1.200	
66.400	63.918	-3.200	8.745	1.600	12.561	-58.400	94.658	-28.000	83.263	-21.600	72.981	-46.800	25.440	-32.400	108.650	-81.624	-1.200	
65.600	63.918	-2.800	8.692	1.600	12.508	-58.400	94.658	-27.600	83.316	-21.200	72.981	-46.400	25.440	-32.400	108.650	-74.204	-1.600	
64.800	63.918	-2.800	8.692	0.800	12.508	-58.000	94.658	-27.200	83.316	-20.800	72.981	-45.200	25.440	-32.400	108.650	-66.784	-1.600	
64.000	63.918	-2.800	8.692	0.400	12.508	-58.000	94.658	-27.600	83.263	-20.400	72.981	-44.000	25.440	-32.800	108.650	-72.349	-1.600	
63.200	63.918	-2.800	8.745	0.400	12.508	-57.600	94.711	-27.200	83.316	-20.000	72.981	-43.200	25.440	-32.800	108.650	-87.190	-1.600	
62.000	63.918	-2.400	8.745	1.200	12.614	-57.600	94.711	-26.400	83.316	-19.200	72.981	-42.400	25.440	-32.400	108.650	-96.465	-2.000	
61.200	63.918	-2.800	8.745	0.800	12.667	-57.200	94.658	-26.000	83.263	-18.800	72.981	-41.600	25.440	-32.000	108.650	-94.610	-2.000	
60.400	63.918	-3.200	8.745	0.000	12.667	-57.200	94.711	-26.000	83.316	-18.400	72.981	-41.600	25.440	-31.600	108.650	-85.335	-2.000	
59.600	63.918	-4.000	8.745	-0.800	12.667	-57.200	94.711	-25.600	83.263	-18.400	72.981	-41.600	25.440	-30.800	108.650	-77.914	-2.400	
58.400	63.918	-4.000	8.745	-0.400	12.614	-56.800	94.658	-25.200	83.263	-18.000	72.981	-42.000	25.440	-30.000	108.650	-70.494	-2.400	
57.600	63.918	-4.000	8.745	0.400	12.561	-56.400	94.658	-24.400	83.263	-18.000	72.981	-42.000	25.440	-29.600	108.650	-61.218	-2.800	
56.400	63.918	-4.000	8.692	-0.400	12.561	-56.400	94.658	-23.600	83.316	-17.600	72.981	-42.000	25.440	-29.200	108.650	-40.812	-2.800	
55.600	63.918	-4.400	8.692	-1.600	12.508	-56.000	94.711	-22.800	83.316	-17.600	72.981	-41.600	25.440	-28.800	108.650	-29.682	-3.200	
55.200	63.918	-4.400	8.692	-3.200	12.508	-55.600	94.658	-22.400	83.263	-17.600	72.981	-41.600	25.440	-28.400	108.650	-33.392	-3.200	
54.400	63.918	-4.400	8.692	-3.200	12.561	-55.200	94.658	-21.600	83.263	-17.200	72.981	-40.800	25.440	-28.000	108.650	-27.827	-3.600	
53.600	63.918	-4.000	8.745	-2.800	12.561	-54.800	94.658	-20.400	83.263	-17.200	72.981	-39.600	25.440	-27.200	108.650	-16.696	-3.600	
53.200	63.918	-3.600	8.745	-2.800	12.667	-54.400	94.658	-19.200	83.263	-17.200	72.981	-37.600	25.387	-26.400	108.650	-11.131	-3.600	
52.400	63.918	-3.200	8.745	-4.400	12.667	-53.600	94.658	-18.400	83.263	-16.800	72.981	-34.800	25.387	-25.200	108.650	-5.565	-3.600	
52.000	63.918	-2.800	8.745	-4.800	12.667	-53.200	94.658	-17.600	83.263	-16.400	72.981	-31.600	25.440	-24.400	108.650	-16.696	-3.600	
51.600	63.918	-2.000	8.745	-4.400	12.614	-52.800	94.658	-16.400	83.263	-16.000	72.981	-28.800	25.440	-23.600	108.650	-27.827	-3.600	
51.200	63.918	-1.600	8.745	-3.200	12.561	-52.400	94.711	-14.800	83.263	-15.600	72.981	-26.400	25.440	-22.400	108.650	-25.971	-3.600	
50.800	63.918	-1.200	8.692	-3.200	12.508	-52.000	94.658	-13.600	83.263	-15.200	72.981	-24.400	25.440	-20.800	108.650	-29.682	-3.200	
50.000	63.918	-0.800	8.692	-3.200	12.508	-51.600	94.658	-12.800	83.263	-14.400	72.981	-22.800	25.440	-19.600	108.650	-42.667	-3.200	
49.600	63.918	-0.400	8.692	-2.800	12.508	-51.200	94.711	-12.400	83.263	-14.000	72.981	-21.600	25.440	-18.400	108.650	-59.363	-3.200	
49.200	63.918	0.000	8.745	-1.600	12.561	-50.800	94.658	-11.200	83.263	-13.200	72.981	-20.000	25.387	-17.600	108.650	-64.929	-3.200	
48.400	63.918	0.000	8.745	-0.400	12.561	-50.400	94.658	-10.000	83.263	-12.400	72.981	-18.800	25.387	-17.200	108.650	-66.784	-3.200	
48.000	63.918	0.400	8.745	0.000	12.667	-50.000	94.658	-8.800	83.263	-11.600	72.981	-17.200	25.387	-16.400	108.650	-66.784	-3.600	
47.200	63.918	0.000	8.745	-0.800	12.667	-49.600	94.711	-8.800	83.263	-11.200	72.981	-16.000	25.387	-15.600	108.650	-63.073	-3.600	
46.400	63.918	0.000	8.745	-1.200	12.667	-48.800	94.658	-8.800	83.263	-10.400	72.981	-15.600	25.440	-15.200	108.650	-70.494	-4.000	
45.600	63.918	0.400	8.692	-0.400	12.614	-48.400	94.658	-8.400	83.263	-9.600	72.981	-15.600	25.440	-14.800	108.650	-72.349	-4.400	
44.800	63.918	0.800	8.692	0.400	12.561	-47.600	94.658	-8.000	83.263	-9.200	72.981	-15.600	25.440	-14.400	108.650	-66.784	-4.800	
44.000	63.918	1.200	8.692	0.000	12.561	-46.800	94.658	-7.200	83.263	-8.400	72.981	-15.600	25.440	-13.600	108.597	-63.073	-5.200	
42.800	63.918	1.200	8.692	-1.600	12.508	-45.600	94.658	-6.400	83.263	-7.600	72.981	-16.000	25.440	-13.200	108.650	-51.943	-5.600	
42.000	63.971	1.600	8.692	-2.800	12.508	-44.800	94.658	-6.000	83.263	-7.200	72.928	-16.400	25.440	-12.800	108.650	-37.102	-6.000	
40.800	63.918	1.600	8.745	-3.200	12.561	-44.000	94.658	-5.200	83.263	-6.400	72.981	-17.600	25.387	-12.000	108.650	-38.957	-6.400	
39.600	63.971	1.600	8.745	-2.400	12.614	-42.800	94.658	-3.600	83.263	-6.000	72.981	-19.600	25.440	-11.200	108.650	-46.378	-6.400	
38.000	63.918	1.600	8.745	-2.800	12.667	-42.000	94.658	-2.800	83.263	-5.200	72.981	-21.600	25.387	-10.400	108.597	-46.378	-6.800	
36.800	63.918	1.200	8.745	-4.000	12.667	-40.800	94.658	-2.000	83.263	-4.800	72.981	-23.600	25.440	-9.600	108.597	-48.233	-6.800	
35.600	63.971	0.400	8.745	-4.400	12.667	-40.000	94.658	-1.200	83.263	-4.000	72.981	-25.200	25.440	-8.400	108.597	-59.363	-6.800	
34.000	63.971	0.400	8.745	-3.200	12.614	-38.800	94.658	0.000	83.263	-3.600	72.981	-25.200	25.440	-7.600	108.597	-59.363	-6.800	
32.400	63.971	-0.400	8.745	-1.600	12.561	-37.600	94.658	2.000	83.263	-2.800	72.928	-24.800	25.440	-6.400	108.650	-46.378	-6.800	
30.800	63.918	-1.200	8.692	-0.800	12.508	-36.800	94.658	3.200	83.263	-2.000	72.981	-23.200	25.440	-5.200	108.650	-37.102	-6.400	
29.600	63.971	-2.400	8.745	0.000	12.508	-35.600	94.658	4.400	83.263	-1.200	72.981	-21.200	25.387	-4.000	108.597	-37.102	-6.400	
28.000	63.971	-2.800	8.692	0.800	12.508	-34.000	94.658	5.600	83.263	-0.400	72.981	-19.200	25.387	-3.200	108.597	-44.522	-6.400	
26.400	63.971	-3.200	8.745	2.400	12.508	-32.800	94.658	7.200	83.263	0.800	72.981	-16.800	25.387	-2.000	108.597	-55.653	-6.400	
24.800	63.971	-3.200	8.745	4.000	12.561	-31.200	94.658	9.200	83.263	1.600	72.981	-14.800	25.387	-0.800	108.597	-59.363	-6.400	
23.600	63.971	-3.200	8.745	4.800	12.614	-30.000	94.658	10.800	83.263	2.400	72.928	-12.400	25.387	0.400	108.650	-57.508	-6.400	
22.400	63.971	-3.600	8.745	4.400	12.667	-28.400	94.658	12.000	83.263	3.200	72.928	-11.200	25.387	1.200	108.597	-50.088	-6.400	
21.200	63.971	-3.600	8.745	4.400	12.667	-27.200	94.658	12.800	83.263	4.000	72.928	-10.000	25.387	1.600	108.597	-44.522	-6.400	
19.600	63.971	-3.200	8.745	5.200	12.614	-25.600	94.658	14.000	83.263	5.200	72.928	-9.200	25.387	2.000	108.597	-50.088	-6.400	
18.400	63.971	-2.400	8.745	6.000	12.561	-24.400	94.658	15.200	83.210	6.000	72.928	-7.600	25.387	2.400	108.597	-57.508	-6.400	
17.200	63.971	-2.000	8.692	5.200	12.508	-23.600	94.658	16.400	83.263	6.800	72.981	-6.800	25.440	3.200	108.597	-64.929	-6.400	
16.000	63.971	-2.000	8.692	3.200	12.508	-22.400	94.658	16.800	83.263	7.600	72.928	-6.000	25.387	3.600	108.597	-68.639	-6.400	
15.200	63.971	-1.600	8.692	1.600	12.508	-21.200	94.658	17.600	83.263	8.400	72.928	-4.400	25.387	4.400	108.597	-61.218	-6.400	
14.000	63.971	-1.200	8.692	1.200	12.508	-20.400	94.658	18.400	83.263	9.200	72.981	-2.400	25.387	5.200	108.597	-57.508	-6.400	
12.800	63.971	-0.800	8.745	1.600	12.614	-19.600	94.658	20.000	83.210	10.400	72.928	0.000	25.387	5.600	108.597	-63.073	-6.400	
11.600	63.971	-0.400	8.745	0.800	12.667	-18.400	94.658	21.200	83.263	11.200	72.928	1.600	25.387	6.400	108.597	-61.218	-6.400	
10.400	63.971	-0.400	8.745	-0.800	12.667	-17.200	94.658	21.600	83.263	12.000	72.928	3.200	25.387	7.600	108.597	-48.233	-6.400	
8.800	63.971	-0.400	8.745	-2.000	12.667	-16.000	94.658	22.000	83.263	12.800	72.928	4.400	25.387	8.800	108.597	-55.653	-6.400	
7.600	63.971	0.000	8.745	-1.200	12.614	-15.200	94.658	22.400	83.263	13.600	72.928	5.200	25.387	10.000	108.597	-77.914	-6.000	
6.400	63.971	0.000	8.745	-0.800	12.561	-14.000	94.658	23.200	83.263	14.400	72.928	5.600	25.387	11.200	108.597	-85.335	-6.000	
4.800	63.971	-0.400	8.692	-0.800	12.508	-13.200	94.658	23.600	83.263	14.800	72.928	6.000	25.387	12.000	108.597	-70.494	-5.600	
3.200	63.971	-0.800	8.692	-1.200	12.508	-12.000	94.658	23.600	83.263	15.600	72.928	6.000	25.387	12.800	108.597	-59.363	-5.600	
1.600	63.971	-1.600	8.745	-1.200	12.508	-11.200	94.658	23.600	83.263	16.400	72.928	5.200	25.387	13.200	108.597	-64.929	-5.200	
0.000	63.971	-1.600	8.745	-0.400	12.508	-10.000	94.658	23.600	83.263	16.800	72.928	5.200	25.387	14.000	108.597	-72.349	-5.200	
-1.600	63.971	-2.000	8.745	0.400	12.614	-9.200	94.658	24.000	83.263	17.600	72.928	5.600	25.387	14.800	108.597	-74.204	-5.200	
-3.200	63.971	-2.800	8.745	0.800	12.667	-8.000	94.658	24.400	83.263	18.400	72.928	5.600	25.387	15.600	108.597	-66.784	-4.800	
-4.800	63.971	-3.600	8.745	-0.400	12.667	-7.200	94.658	24.400	83.263	18.800	72.928	6.400	25.387	16.000	108.597	-63.073	-4.800	
-6.400	63.971	-4.000	8.745	-0.400	12.667	-6.800	94.658	24.800	83.263	19.600	72.928	7.200	25.387	17.200	108.597	-76.059	-4.400	
-8.400	64.024	-4.000	8.745	0.800	12.614	-6.000	94.658	26.000	83.263	20.000	72.928	8.400	25.387	18.400	108.597	-81.624	-4.400	
-10.000	63.971	-4.000	8.745	1.600	12.561	-5.200	94.658	27.200	83.263	20.400	72.928	9.600	25.387	20.000	108.597	-77.914	-4.400	
-11.600	63.971	-4.000	8.692	1.600	12.508	-4.400	94.658	28.000	83.263	21.200	72.928	10.000	25.387	22.000	108.597	-79.769	-4.400	
-13.200	63.971	-3.600	8.692	0.800	12.508	-4.000	94.658	28.800	83.263	21.600	72.928	10.400	25.387	23.600	108.597	-79.769	-4.400	
-14.800	64.024	-3.200	8.692	0.000	12.508	-3.200	94.658	29.200	83.263	21.600	72.928	11.200	25.387	24.800	108.597	-77.914	-4.800	
-16.000	63.971	-2.400	8.692	0.400	12.508	-2.800	94.658	30.400	83.263	22.000	72.928	11.600	25.387	26.400	108.597	-77.914	-4.800	
-17.600	63.971	-1.200	8.745	0.800	12.614	-2.000	94.658	31.600	83.263	22.000	72.928	11.600	25.387	27.600	108.597	-83.480	-5.200	
-18.800	63.971	-0.400	8.745	0.400	12.667	-1.600	94.658	32.800	83.263	22.400	72.928	11.600	25.334	29.200	108.597	-77.914	-5.200	
-20.000	63.971	0.000	8.745	-1.200	12.667	-1.200	94.658	33.200	83.263	22.400	72.928	11.600	25.387	30.400	108.597	-63.073	-5.600	
-21.200	64.024	0.400	8.745	-2.400	12.667	-0.800	94.658	33.600	83.263	22.400	72.928	11.200	25.387	31.200	108.597	-59.363	-6.000	
-22.400	63.971	1.200	8.745	-2.400	12.614	-0.400	94.658	34.000	83.210	22.400	72.928	11.200	25.387	31.600	108.597	-59.363	-6.000	
-23.200	63.971	2.000	8.745	-2.000	12.561	0.000	94.605	34.800	83.263	22.400	72.928	12.000	25.387	32.000	108.597	-50.088	-6.000	
-24.400	63.971	2.800	8.692	-2.400	12.508	0.800	94.658	35.600	83.263	22.400	72.928	13.200	25.387	32.800	108.544	-46.378	-6.400	
-25.600	64.024	3.200	8.692	-3.600	12.508	1.200	94.605	36.000	83.210	22.400	72.928	14.000	25.387	33.600	108.597	-55.653	-6.400	
-26.400	64.024	3.600	8.692	-4.000	12.508	1.600	94.605	36.400	83.210	22.000	72.928	14.000	25.387	34.000	108.597	-59.363	-6.000	
-27.600	64.024	4.400	8.692	-3.600	12.508	2.400	94.658	37.200	83.210	22.000	72.928	14.000	25.387	34.000	108.597	-57.508	-6.000	
-28.800	64.024	4.800	8.745	-2.800	12.614	2.800	94.658	38.000	83.210	21.600	72.928	13.600	25.387	34.400	108.597	-61.218	-6.000	
-29.600	64.024	4.800	8.745	-2.800	12.667	3.200	94.658	38.400	83.210	21.600	72.928	13.200	25.387	34.400	108.597	-66.784	-5.600	
-30.800	64.024	4.800	8.745	-4.000	12.667	4.000	94.658	38.400	83.263	21.200	72.928	12.800	25.387	34.400	108.597	-64.929	-5.200	
-32.000	64.024	4.400	8.745	-4.400	12.667	4.800	94.605	38.800	83.210	21.200	72.928	12.800	25.387	34.400	108.597	-64.929	-5.200	
-33.200	64.024	4.400	8.745	-3.600	12.614	5.200	94.605	39.600	83.263	20.800	72.928	12.000	25.387	34.400	108.597	-66.784	-5.200	
-34.400	64.024	4.400	8.745	-2.800	12.561	6.000	94.658	40.400	83.210	20.400	72.928	10.800	25.387	34.400	108.597	-68.639	-4.800	
-35.600	64.024	3.600	8.745	-3.200	12.561	6.400	94.605	40.800	83.210	20.000	72.928	9.600	25.387	34.000	108.597	-72.349	-4.800	
-36.400	64.024	2.400	8.692	-4.400	12.508	6.800	94.605	40.800	83.210	19.600	72.928	8.400	25.387	33.600	108.597	-61.218	-4.800	
-37.600	64.024	1.200	8.692	-4.800	12.508	7.200	94.605	40.800	83.210	19.200	72.928	7.600	25.387	33.600	108.597	-48.233	-4.800	
-38.400	64.024	0.400	8.692	-4.800	12.561	7.600	94.605	41.600	83.210	18.400	72.928	7.200	25.387	33.600	108.597	-50.088	-4.800	
-39.600	64.024	0.000	8.745	-4.400	12.614	7.600	94.658	42.000	83.210	18.000	72.928	7.200	25.387	34.000	108.597	-59.363	-5.200	
-40.400	64.024	-0.800	8.745	-4.800	12.667	8.000	94.658	42.000	83.210	17.600	72.928	7.600	25.387	34.400	108.597	-64.929	-5.600	
-41.600	64.024	-1.600	8.745	-5.600	12.667	8.000	94.605	42.000	83.210	17.200	72.928	8.800	25.387	34.000	108.597	-63.073	-5.600	
-42.400	64.024	-2.000	8.745	-6.000	12.667	8.000	94.658	41.600	83.210	16.800	72.928	10.000	25.387	34.000	108.597	-63.073	-6.000	
-43.600	64.024	-1.600	8.745	-5.200	12.614	8.400	94.658	41.200	83.210	16.400	72.928	11.200	25.387	34.000	108.597	-70.494	-6.800	
-44.400	64.024	-1.600	8.692	-4.400	12.561	8.400	94.658	41.200	83.210	16.000	72.928	12.400	25.387	34.000	108.597	-68.639	-7.200	
-45.600	64.024	-1.200	8.692	-4.800	12.508	8.800	94.605	40.400	83.263	15.600	72.928	13.600	25.387	34.400	108.597	-72.349	-7.600	
-46.400	64.024	-0.800	8.692	-6.000	12.508	8.800	94.658	39.600	83.263	15.600	72.928	14.400	25.387	34.400	108.597	-83.480	-8.000	
-47.600	64.024	0.000	8.692	-6.400	12.508	9.200	94.605	39.200	83.263	15.200	72.928	15.600	25.387	34.000	108.597	-81.624	-8.000	
-48.400	64.024	0.800	8.692	-6.000	12.561	9.600	94.658	38.800	83.210	14.800	72.928	16.000	25.387	33.600	108.597	-79.769	-8.000	
-49.200	64.024	1.200	8.745	-5.200	12.614	10.000	94.605	39.200	83.263	14.400	72.928	15.600	25.334	34.000	108.597	-89.045	-8.000	
-50.000	64.024	2.000	8.745	-5.600	12.667	10.800	94.605	39.200	83.210	14.000	72.928	14.400	25.387	34.400	108.597	-85.335	-8.000	
-50.400	64.024	2.400	8.745	-6.800	12.667	11.600	94.605	38.400	83.263	13.600	72.928	12.800	25.387	34.400	108.597	-70.494	-8.000	
-51.200	64.024	2.800	8.745	-7.200	12.667	12.000	94.605	38.400	83.210	13.200	72.928	10.000	25.387	34.800	108.597	-64.929	-8.000	
-51.600	64.024	4.000	8.745	-6.000	12.614	12.800	94.605	38.800	83.210	12.400	72.928	7.600	25.387	35.200	108.597	-70.494	-8.000	
-52.000	64.024	4.800	8.692	-4.800	12.561	13.200	94.605	39.600	83.210	12.000	72.981	4.800	25.387	35.600	108.597	-72.349	-8.000	
-52.400	64.024	5.200	8.692	-4.000	12.508	13.600	94.605	40.000	83.263	11.200	72.928	2.400	25.387	35.600	108.597	-68.639	-8.000	
-52.400	64.024	5.600	8.692	-4.000	12.508	14.000	94.605	39.600	83.210	10.800	72.928	0.000	25.387	35.200	108.597	-66.784	-7.600	
-52.800	64.024	5.600	8.692	-3.600	12.508	14.400	94.605	39.600	83.263	10.800	72.928	-2.000	25.387	34.400	108.597	-55.653	-7.600	
-53.200	64.024	6.000	8.692	-2.400	12.561	14.400	94.605	39.600	83.210	10.400	72.928	-3.600	25.387	33.600	108.597	-46.378	-8.000	
-53.600	64.024	6.000	8.745	-1.200	12.614	14.400	94.605	40.000	83.210	10.400	72.928	-4.000	25.387	32.400	108.597	-51.943	-8.000	
-54.000	64.024	6.000	8.745	-1.200	12.667	14.400	94.658	40.400	83.210	10.800	72.928	-3.200	25.387	31.200	108.597	-50.088	-7.600	
-54.000	64.024	6.000	8.745	-2.000	12.667	14.400	94.605	40.000	83.263	11.200	72.928	-2.400	25.387	30.000	108.597	-46.378	-7.600	
-54.400	64.024	5.600	8.745	-2.400	12.667	14.400	94.605	40.000	83.210	11.200	72.928	-2.000	25.387	28.800	108.597	-50.088	-7.600	
-54.400	64.024	6.000	8.745	-1.600	12.614	14.400	94.605	40.400	83.210	11.600	72.928	-1.200	25.387	28.000	108.597	-42.667	-7.200	
-54.800	64.024	5.600	8.692	-1.200	12.561	14.400	94.605	41.200	83.210	12.000	72.928	0.000	25.387	27.600	108.597	-33.392	-7.200	
-54.800	64.024	5.600	8.692	-1.600	12.508	14.400	94.605	42.000	83.263	12.400	72.928	0.800	25.387	27.200	108.597	-42.667	-6.800	
-55.200	64.024	5.200	8.692	-2.400	12.508	14.400	94.605	41.600	83.210	12.800	72.928	1.600	25.387	27.200	108.597	-55.653	-6.400	
-55.200	64.024	4.800	8.692	-2.800	12.508	14.800	94.605	41.200	83.263	12.800	72.928	1.600	25.387	27.600	108.597	-55.653	-6.000	
-55.200	64.024	4.800	8.692	-2.000	12.561	14.800	94.605	41.200	83.263	12.800	72.928	1.600	25.387	28.000	108.597	-57.508	-6.000	
-55.600	64.024	4.800	8.745	-1.600	12.614	14.800	94.605	41.600	83.210	13.200	72.928	1.200	25.387	28.000	108.597	-57.508	-5.600	
-55.600	64.024	4.400	8.745	-1.600	12.667	14.800	94.605	42.000	83.210	13.200	72.928	0.800	25.387	28.400	108.597	-53.798	-5.600	
-56.000	64.024	3.600	8.745	-2.800	12.667	15.200	94.605	41.600	83.210	13.200	72.928	0.000	25.387	28.400	108.597	-59.363	-5.200	
-56.000	64.024	3.200	8.745	-3.200	12.667	14.800	94.605	40.800	83.263	13.200	72.981	-1.200	25.387	28.000	108.597	-72.349	-5.200	
-56.000	64.024	2.800	8.745	-2.000	12.614	15.200	94.605	40.000	83.263	13.200	72.928	-2.000	25.387	28.000	108.597	-76.059	-5.200	
-56.400	64.024	2.400	8.692	-1.200	12.561	15.200	94.605	40.000	83.210	13.200	72.928	-2.000	25.387	27.600	108.597	-72.349	-5.200	
-56.400	64.024	2.000	8.692	-1.600	12.508	15.200	94.605	40.000	83.263	13.200	72.928	-1.600	25.387	27.200	108.597	-68.639	-4.800	
-56.400	64.024	1.600	8.692	-2.400	12.508	15.600	94.605	39.600	83.210	13.200	72.928	-1.600	25.387	26.800	108.597	-63.073	-4.800	
-56.800	64.024	1.200	8.692	-3.200	12.508	15.600	94.605	39.600	83.210	13.200	72.928	-0.800	25.387	26.000	108.597	-55.653	-5.200	
-56.800	64.024	1.200	8.745	-2.800	12.561	15.600	94.605	40.400	83.210	13.200	72.928	0.000	25.387	25.600	108.597	-55.653	-5.200	
-57.200	64.024	1.200	8.745	-2.400	12.614	16.000	94.605	41.200	83.210	13.200	72.928	0.800	25.387	25.200	108.597	-59.363	-5.200	
-57.200	64.024	1.600	8.745	-2.800	12.667	16.000	94.605	41.600	83.263	13.200	72.981	0.800	25.387	24.800	108.597	-50.088	-5.600	
-57.600	64.024	1.200	8.745	-3.600	12.667	16.000	94.605	41.600	83.263	13.200	72.928	0.400	25.387	24.800	108.597	-24.116	-5.600	
-57.600	64.024	1.600	8.745	-3.600	12.667	16.000	94.605	41.200	83.263	13.200	72.928	0.000	25.387	24.800	108.597	-3.710	-5.600	
-58.000	64.024	2.000	8.692	-2.400	12.614	16.000	94.658	40.800	83.210	13.200	72.981	-0.800	25.387	24.800	108.597	-1.855	-6.000	
-58.000	64.024	2.000	8.692	-1.600	12.561	16.000	94.605	40.800	83.263	12.800	72.928	-2.000	25.440	25.200	108.597	0.000	-6.000	
