œ– √(2), ÏŒÏ	¡œ– √(2), ŒÏ	œ– √(4), ÏŒÏ	¡œ– √(4), ŒÏ	œ– √(5), ÏŒÏ	¡œ– √(5), ŒÏ	œ– √(7), ÏŒÏ	¡œ– √(7), ŒÏ	œ– √(8), ÏŒÏ	¡œ– √(8), ŒÏ	œ– √(10), ÏŒÏ	¡œ– √(10), ŒÏ	œ– √(13), ÏŒÏ	¡œ– √(13), ŒÏ	œ– √(14), ÏŒÏ	¡œ– √(14), ŒÏ	› √(16), ÏÍ¬	“– √(32), ÏŒÏ	
-11.200	64.183	-10.400	8.745	5.200	12.667	-6.000	94.393	-12.400	82.945	-1.200	72.716	8.000	25.705	-6.800	108.332	42.667	-4.000	
-11.600	64.183	-10.800	8.745	4.800	12.667	-6.000	94.393	-12.000	82.945	-1.200	72.716	8.000	25.705	-6.800	108.332	46.378	-4.000	
-11.600	64.183	-10.400	8.745	5.600	12.614	-6.400	94.393	-11.600	82.945	-1.200	72.716	8.000	25.705	-7.200	108.332	44.522	-4.000	
-12.000	64.183	-10.000	8.745	6.400	12.561	-6.400	94.393	-11.200	82.892	-1.200	72.716	8.400	25.705	-7.600	108.332	44.522	-3.600	
-12.400	64.183	-9.600	8.745	6.000	12.508	-6.800	94.393	-10.400	82.945	-1.200	72.716	8.800	25.705	-8.000	108.332	42.667	-3.600	
-12.800	64.183	-9.600	8.745	5.200	12.508	-7.200	94.393	-9.200	82.945	-1.200	72.716	8.800	25.705	-8.000	108.332	44.522	-3.600	
-12.800	64.183	-9.200	8.745	4.400	12.508	-7.600	94.393	-7.600	82.945	-1.200	72.716	8.800	25.705	-7.600	108.332	57.508	-3.600	
-13.200	64.183	-8.800	8.745	4.000	12.508	-8.400	94.393	-6.800	82.892	-1.200	72.716	9.200	25.705	-7.600	108.332	61.218	-4.000	
-13.200	64.183	-8.000	8.745	4.400	12.561	-8.800	94.393	-6.400	82.945	-1.200	72.716	9.200	25.705	-8.000	108.332	51.943	-4.000	
-13.600	64.183	-7.200	8.745	4.400	12.614	-9.600	94.393	-6.800	82.945	-1.200	72.716	8.400	25.705	-8.000	108.332	51.943	-4.000	
-14.000	64.183	-6.800	8.745	3.600	12.667	-10.400	94.393	-6.800	82.945	-0.800	72.716	8.400	25.705	-8.400	108.332	61.218	-4.000	
-14.000	64.183	-6.400	8.745	2.800	12.667	-11.200	94.393	-6.400	82.945	-0.800	72.716	8.400	25.705	-8.800	108.332	68.639	-4.000	
-14.000	64.183	-6.000	8.745	3.200	12.614	-11.600	94.393	-6.400	82.945	-0.800	72.769	8.800	25.705	-9.200	108.332	70.494	-4.400	
-14.400	64.183	-5.600	8.745	4.400	12.561	-12.400	94.393	-6.400	82.945	-0.400	72.716	8.800	25.705	-9.600	108.332	79.769	-4.400	
-14.400	64.183	-5.200	8.745	4.800	12.508	-12.800	94.393	-6.800	82.945	-0.400	72.716	9.200	25.705	-10.000	108.332	77.914	-4.400	
-14.400	64.183	-5.600	8.692	4.800	12.508	-13.600	94.393	-6.400	82.892	-0.400	72.716	8.800	25.705	-10.400	108.332	63.073	-4.400	
-14.800	64.183	-5.600	8.745	4.800	12.508	-14.000	94.393	-5.600	82.945	-0.400	72.716	8.000	25.705	-10.400	108.332	53.798	-4.000	
-14.800	64.183	-5.600	8.745	5.200	12.508	-14.800	94.393	-5.600	82.945	-0.400	72.716	6.400	25.705	-9.600	108.332	53.798	-4.000	
-14.800	64.183	-5.600	8.745	6.400	12.561	-15.200	94.393	-5.600	82.945	-0.400	72.716	4.800	25.705	-8.800	108.332	53.798	-4.000	
-14.800	64.183	-5.600	8.745	6.800	12.614	-15.600	94.393	-6.000	82.945	-0.400	72.716	2.800	25.705	-8.000	108.332	59.363	-4.000	
-14.800	64.183	-6.400	8.745	6.400	12.667	-15.600	94.393	-6.000	82.945	-0.400	72.716	1.600	25.705	-7.200	108.332	64.929	-4.000	
-14.800	64.183	-7.200	8.745	5.600	12.667	-16.000	94.393	-5.600	82.945	-0.400	72.716	0.400	25.705	-6.000	108.332	59.363	-4.000	
-14.400	64.183	-7.200	8.745	6.000	12.614	-16.000	94.393	-6.000	82.945	-0.800	72.769	-1.600	25.705	-4.000	108.332	42.667	-4.000	
-14.400	64.183	-7.200	8.692	6.800	12.614	-16.000	94.393	-7.200	82.945	-0.800	72.716	-3.600	25.758	-2.400	108.332	27.827	-4.400	
-14.400	64.183	-7.200	8.745	6.400	12.508	-16.400	94.393	-8.400	82.945	-0.800	72.769	-5.200	25.758	-1.200	108.332	18.551	-4.400	
-14.000	64.183	-7.200	8.692	5.600	12.508	-16.400	94.393	-9.600	82.945	-0.400	72.716	-7.200	25.758	-0.400	108.332	25.971	-4.800	
-13.600	64.183	-7.200	8.692	4.400	12.508	-16.800	94.393	-10.400	82.945	-0.400	72.769	-8.800	25.758	-0.400	108.332	40.812	-5.200	
-13.600	64.183	-7.200	8.692	4.000	12.508	-17.200	94.393	-11.200	82.945	-0.400	72.769	-10.400	25.705	0.000	108.332	44.522	-5.600	
